date,open,high,low,close,volume,turn
2017-05-02,389.4154661,392.632212,387.1259,389.8695949,2329168,0.185414112
2017-05-03,388.8478051,395.1488425,388.8478051,395.1015374,2026791,0.161343301
2017-05-04,392.2821543,395.9246459,392.2821543,393.5783137,2670915,0.212618984
2017-05-05,393.767534,399.9928833,392.7268221,393.758073,3743711,0.298019229
2017-05-08,393.748612,394.5244154,382.9062863,383.6253236,4072165,0.324165908
2017-05-09,382.6413778,387.7881712,376.5484828,386.7285373,5280192,0.420331257
2017-05-10,386.3879406,392.102395,385.0823203,387.9868525,2603938,0.20728726
2017-05-11,386.3879406,392.3483814,384.5998084,389.9452831,3046764,0.242538556
2017-05-12,391.2982085,392.9160425,387.9111644,391.1846763,2233742,0.177817697
2017-05-15,390.8535407,397.6938561,390.8535407,396.9369748,3344735,0.266258626
2017-05-16,396.9842799,407.9779818,395.7165036,406.9372699,5016490,0.399339181
2017-05-17,405.877636,407.003497,401.9796969,403.6069919,2751521,0.219035649
2017-05-18,402.1405342,407.4860089,402.1026901,406.3885309,2430080,0.193447242
2017-05-19,406.416914,417.9877379,406.416914,417.0605583,3831083,0.304974503
2017-05-22,415.3764972,421.9708262,412.6895683,417.9688159,3532149,0.281177773
2017-05-23,418.4134837,429.9748467,418.4134837,429.7193992,4845439,0.385722615
2017-05-24,428.489467,431.8765111,421.9613651,426.0485246,4022618,0.320221704
2017-05-25,424.5253008,428.5462331,423.3805177,426.313433,2889842,0.230046733
2017-05-26,426.5215754,431.0439416,423.8535686,427.5622873,2738664,0.218012163
2017-05-31,425.745772,426.2188229,416.388826,419.0662939,4431225,0.352748986
2017-06-01,418.6500091,425.6984669,417.2403176,425.0645788,4060478,0.323235561
2017-06-02,425.745772,426.6445686,421.5829245,423.2007584,2178526,0.173422211
2017-06-05,423.8914126,424.7996703,418.5080939,420.4570634,1924120,0.153170146
2017-06-06,420.9868804,424.7996703,420.2583821,424.629372,2040244,0.162414231
2017-06-07,424.9132025,435.2067892,424.9132025,434.6107451,3883430,0.309141602
2017-06-08,436.4556434,439.3696367,433.7876366,439.2844876,2895111,0.230466173
2017-06-09,439.2182604,445.4246877,438.0450943,440.637413,3143076,0.250205501
2017-06-12,441.8295012,449.8145996,439.9372977,447.3925793,3510916,0.279487514
2017-06-13,447.5534165,448.925264,441.8295012,447.5439555,2423798,0.192947162
2017-06-14,447.3074301,451.7635692,445.1219351,448.8211928,3376863,0.268816185
2017-06-15,449.3983149,449.8524437,438.991196,439.2750265,5020280,0.399640885
2017-06-16,436.6259417,442.293091,436.3988773,437.6950367,3333180,0.265338787
2017-06-19,437.0611485,445.036786,437.0611485,444.8286436,3853668,0.306772389
2017-06-20,447.5061115,449.2847827,440.5617249,441.16723,3450539,0.274681185
2017-06-21,444.2420605,447.5061115,440.9117825,447.231742,4203854,0.33464905
2017-06-22,447.5250335,452.1703929,445.8031284,447.269586,3824234,0.304429287
2017-06-23,447.3736572,449.2847827,443.0878164,447.250664,3130362,0.249193399
2017-06-26,447.5155725,458.859332,446.5600097,458.5565795,5293257,0.4213713
2017-06-27,456.7968303,458.859332,454.9330099,458.0078405,2798078,0.222741833
